t,xj166,xj167,xj168,xj169,xj170,xj178,xj2
400,-999.25,-999.25,10298.9092,10625.1387,9819.167,10869.5762,9998.6592
400.125,-999.25,-999.25,10298.9092,10595.0459,10025.3584,10869.5762,10319.4082
400.25,-999.25,-999.25,10388.8564,10487.7266,10259.2969,10808.5928,10196.0117
400.375,-999.25,-999.25,10473.8994,10634.582,10362.0986,10802.1934,9595.4297
400.5,-999.25,-999.25,10695.7041,11033.1953,10244.6865,10777.458,10623.0205
400.625,-999.25,-999.25,11002.9521,11172.3643,10196.6631,10767.5762,9923.1064
400.75,-999.25,-999.25,10885.3301,11117.8535,10033.5527,10766.6074,11300.8633
400.875,-999.25,-999.25,10742.5098,10685.4531,10033.1494,10747.9189,10775.3711
401,-999.25,-999.25,10815.4209,10230.1582,10106.4219,10700.3311,11233.3242
401.125,-999.25,-999.25,10891.8311,10484.1074,10107.1738,10880.5449,11783.79
401.25,-999.25,-999.25,10890.9443,10827.9619,10108.8115,11089.7979,12007.4424
401.375,-999.25,-999.25,10812.3545,10971.5684,10108.8613,11013.3281,11230.6924
401.5,-999.25,-999.25,10739.7207,10971.4424,9992.7041,10922.9521,12477.6143
401.625,-999.25,-999.25,10873.8545,10774.4063,9881.6572,10757.1895,11142.2813
401.75,-999.25,-999.25,10947.8691,10814.5967,9829.9775,10686.5996,11491.7969
401.875,-999.25,-999.25,11120.4883,10989.8818,9684.7188,10767.0371,10296.832
402,-999.25,-999.25,11279.1982,11107.8281,9601.3301,10791.7285,10951.1816
402.125,-999.25,-999.25,11254.1387,11022.5938,9772.1514,10804.9922,11658.9639
402.25,-999.25,-999.25,11093.3574,11168.9541,9973.5391,10824.377,10504.8857
402.375,-999.25,-999.25,10930.0449,11440.7402,9948.9102,10900.3203,9192.1104
402.5,-999.25,-999.25,11037.4697,11407.0059,9834.9688,10888.0195,9318.3262
402.625,-999.25,-999.25,11017.5059,10998.6445,9543.9971,10719.6787,9593.5889
402.75,-999.25,-999.25,10884.3389,10496.2344,9664.0615,10707.501,9803.5557
402.875,-999.25,-999.25,10742.7676,10574.5361,9618.0469,10687.7324,10470.9854
403,-999.25,-999.25,10732.7227,11029.917,9423.4404,10687.043,10053.5215
403.125,-999.25,-999.25,10732.2813,11601.5381,9238.8652,10686.2676,9937.3604
403.25,-999.25,-999.25,10819.1133,11108.9658,9183.5527,10594.6748,9700.3252
403.375,-999.25,-999.25,10881.5322,10242.6641,9323.1484,9698.9238,9686.2236
403.5,-999.25,-999.25,10992.8076,10565.7197,9492.0938,6082.1289,9859.8584
403.625,-999.25,-999.25,11032.7539,10736.3291,9241.0967,4528.9907,9869.5713
403.75,-999.25,-999.25,11143.6826,10902.6523,9105.9951,2986.2957,9562.2959
403.875,-999.25,-999.25,11293.9014,11011.8125,8928.3555,2325.3594,8816.4102
404,-999.25,-999.25,11334.8057,10914.0137,8711.4053,2073.4751,8834.5205
404.125,-999.25,-999.25,11176.4658,10811.21,7127.79,1959.1469,8569.1904
404.25,-999.25,-999.25,11029.9268,10532.083,4212.5801,1968.6899,8439.668
404.375,-999.25,-999.25,11167.3037,10901.2949,2345.4402,1968.6899,9236.4209
404.5,-999.25,-999.25,11202.1563,11418.3135,2237.5017,1968.6899,9282.4209
404.625,-999.25,-999.25,11180.2744,11757.2061,1610.6411,2046.4857,9254.0234
404.75,-999.25,-999.25,11180.2744,11736.9854,1610.6411,2079.2954,9395.3867
404.875,-999.25,-999.25,11038.9932,11442.7852,1610.6411,2193.5647,9311.8564
405,-999.25,-999.25,11026.623,11653.3115,1610.6411,2199.4421,9461.292
405.125,-999.25,-999.25,11025.7236,11847.5762,1610.6411,2256.5967,9203.1768
405.25,-999.25,-999.25,11025.2168,11851.4258,1610.6411,2276.8804,9330.7861
405.375,-999.25,-999.25,11024.3945,11958.332,1610.6411,2301.3125,9326.791
405.5,-999.25,-999.25,11023.332,11753.8262,1628.0237,2301.3125,8975.7334
405.625,-999.25,-999.25,11023.332,11558.4297,1702.9182,2374.1094,9197.4375
